codigo_ies,nome_ies,municipio,nome_curso,nome_area
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,COMUNICACAO SOCIAL,RADIALISMO
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,MÚSICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONOPOLIS,CIÊNCIAS CONTÁBEIS,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,CIÊNCIAS CONTÁBEIS,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONOPOLIS,BIBLIOTECONOMIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,CIENCIAS ECONOMICAS,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,COMUNICACAO SOCIAL,PUBLICIDADE E PROPAGANDA
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,DIREITO,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,ADMINISTRACAO,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,COMUNICACAO SOCIAL,JORNALISMO
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONOPOLIS,ZOOTECNIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,EDUCAÇÃO FÍSICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,AGRONOMIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PONTAL DO ARAGUAIA,FARMÁCIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,MEDICINA VETERINÁRIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABA,NUTRIÇÃO,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,ENFERMAGEM,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,SERVIÇO SOCIAL,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,MEDICINA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONÓPOLIS,ENFERMAGEM,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,MATEMÁTICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONÓPOLIS,MATEMÁTICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,FILOSOFIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONÓPOLIS,BIOLOGIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PONTAL DO ARAGUAIA,COMPUTAÇÃO E INFORMÁTICA,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,ENGENHARIA (GRUPO II),ELETROTÉCNICA
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,HISTÓRIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONÓPOLIS,GEOGRAFIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,QUÍMICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,ENGENHARIA (GRUPO I),ENGENHARIA CIVIL
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PONTAL DO ARAGUAIA,FÍSICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONÓPOLIS,LETRAS,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,BIOLOGIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,ENGENHARIA (GRUPO I),ENGENHARIA SANITÁRIA
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONÓPOLIS,HISTÓRIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,ENGENHARIA (GRUPO VIII),ENGENHARIA FLORESTAL
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,ARQUITETURA E URBANISMO,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PONTAL DO ARAGUAIA,QUÍMICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,FÍSICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,GEOGRAFIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PONTAL DO ARAGUAIA,MATEMÁTICA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PONTAL DO ARAGUAIA,LETRAS,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,LETRAS,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,CIÊNCIAS SOCIAIS,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PONTAL DO ARAGUAIA,BIOLOGIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,PEDAGOGIA,
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,CUIABÁ,COMPUTAÇÃO E INFORMÁTICA,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,RONDONÓPOLIS,PEDAGOGIA,
2,UNIVERSIDADE DE BRASILIA,BRASILIA,TEATRO,
2,UNIVERSIDADE DE BRASILIA,BRASILIA,BIBLIOTECONOMIA,
2,UNIVERSIDADE DE BRASILIA,BRASILIA,COMUNICACAO SOCIAL,JORNALISMO
2,UNIVERSIDADE DE BRASILIA,BRASILIA,COMUNICACAO SOCIAL,PUBLICIDADE E PROPAGANDA
2,UNIVERSIDADE DE BRASÍLIA,BRASILIA,MÚSICA,
2,UNIVERSIDADE DE BRASÍLIA,BRASILIA,PSICOLOGIA,
2,UNIVERSIDADE DE BRASILIA,BRASILIA,DESIGN,
2,UNIVERSIDADE DE BRASILIA,BRASILIA,CIENCIAS ECONOMICAS,
2,UNIVERSIDADE DE BRASÍLIA,BRASILIA,CIÊNCIAS CONTÁBEIS,
2,UNIVERSIDADE DE BRASÍLIA,BRASILIA,DIREITO,
2,UNIVERSIDADE DE BRASILIA,BRASILIA,ADMINISTRACAO,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,SERVIÇO SOCIAL,
2,UNIVERSIDADE DE BRASÍLIA,BRASILIA,NUTRIÇÃO,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,MEDICINA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ENFERMAGEM,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,AGRONOMIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,MEDICINA VETERINÁRIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ODONTOLOGIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,FARMÁCIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASILIA,EDUCAÇÃO FÍSICA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,GEOGRAFIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ARQUITETURA E URBANISMO,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,FILOSOFIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,LETRAS,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,HISTÓRIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,BIOLOGIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,FÍSICA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,QUÍMICA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,COMPUTAÇÃO E INFORMÁTICA,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,MATEMÁTICA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ENGENHARIA (GRUPO III),
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,PEDAGOGIA,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,CIÊNCIAS SOCIAIS,
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ENGENHARIA (GRUPO II),TELECOMUNICAÇÕES
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ENGENHARIA (GRUPO VIII),ENGENHARIA FLORESTAL
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ENGENHARIA (GRUPO I),ENGENHARIA CIVIL
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ENGENHARIA (GRUPO II),ELETROTÉCNICA
2,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,ENGENHARIA (GRUPO II),CONTROLE E AUTOMAÇÃO
3,UNIVERSIDADE FEDERAL DE SERGIPE,SAO CRISTOVAO,PSICOLOGIA,
3,UNIVERSIDADE FEDERAL DE SERGIPE,SAO CRISTOVAO,DIREITO,
3,UNIVERSIDADE FEDERAL DE SERGIPE,SAO CRISTOVAO,COMUNICACAO SOCIAL,RADIALISMO
3,UNIVERSIDADE FEDERAL DE SERGIPE,SAO CRISTOVAO,CIENCIAS ECONOMICAS,
3,UNIVERSIDADE FEDERAL DE SERGIPE,SAO CRISTOVAO,CIÊNCIAS CONTÁBEIS,
3,UNIVERSIDADE FEDERAL DE SERGIPE,SAO CRISTOVAO,ADMINISTRACAO,
