codigo_ies,ies,regiao,uf,municipio,capital_interior,publica_privada,subcategoria,organizacao_academica, qde_matriculas , qde_concluintes 
322,Universidade Paulista,Sudeste,SP,SAO PAULO,Capital,Privada,Particular,Universidades,"  166,601 ","  27,916 "
163,Universidade Estácio de Sá,Sudeste,RJ,RIO DE JANEIRO,Capital,Privada,Particular,Universidades,"  115,916 ","  21,838 "
316,Universidade Nove de Julho,Sudeste,SP,SAO PAULO,Capital,Privada,Particular,Universidades,"  93,520 ","  7,514 "
308,Universidade Presidente Antônio Carlos,Sudeste,MG,BARBACENA,Interior,Privada,Com/Conf/Fil,Universidades,"  55,686 ","  14,469 "
457,Universidade Bandeirante de São Paulo,Sudeste,SP,SAO PAULO,Capital,Privada,Particular,Universidades,"  55,674 ","  8,664 "
55,Universidade de São Paulo,Sudeste,SP,SAO PAULO,Capital,Pública,Estadual,Universidades,"  50,508 ","  7,170 "
663,Universidade Salgado de Oliveira,Sudeste,RJ,SAO GONCALO,Interior,Privada,Com/Conf/Fil,Universidades,"  43,437 ","  10,485 "
449,Universidade Luterana do Brasil,Sul,RS,CANOAS,Interior,Privada,Com/Conf/Fil,Universidades,"  39,305 ","  5,274 "
338,Pontifícia Universidade Católica de Minas Gerais,Sudeste,MG,BELO HORIZONTE,Capital,Privada,Com/Conf/Fil,Universidades,"  34,017 ","  7,842 "
56,Universidade Estadual Paulista Júlio de Mesquita Filho,Sudeste,SP,SAO PAULO,Capital,Pública,Estadual,Universidades,"  31,974 ","  5,889 "
569,Universidade Federal do Pará,Norte,PA,BELEM,Capital,Pública,Federal,Universidades,"  31,069 ","  3,194 "
13,Universidade de Caxias do Sul,Sul,RS,CAXIAS DO SUL,Interior,Privada,Com/Conf/Fil,Universidades,"  31,025 ","  2,909 "
22,Universidade Presbiteriana Mackenzie,Sudeste,SP,SAO PAULO,Capital,Privada,Com/Conf/Fil,Universidades,"  30,653 ","  5,530 "
586,Universidade Federal do Rio de Janeiro,Sudeste,RJ,RIO DE JANEIRO,Capital,Pública,Federal,Universidades,"  29,132 ","  4,052 "
466,Universidade Anhembi Morumbi,Sudeste,SP,SAO PAULO,Capital,Privada,Particular,Universidades,"  26,841 ","  2,483 "
21,Pontifícia Universidade Católica do Rio Grande do Sul,Sul,RS,PORTO ALEGRE,Capital,Privada,Com/Conf/Fil,Universidades,"  26,527 ","  3,869 "
3172,Universidade do Estado do Amazonas,Norte,AM,MANAUS,Capital,Pública,Estadual,Universidades,"  25,720 ","  7,849 "
14,Universidade do Vale do Rio dos Sinos,Sul,RS,SAO LEOPOLDO,Interior,Privada,Com/Conf/Fil,Universidades,"  24,733 ","  2,941 "
47,Universidade Estadual de Goiás,Centro-Oeste,GO,ANAPOLIS,Interior,Pública,Estadual,Universidades,"  24,325 ","  5,206 "
583,Universidade Federal do Ceará,Nordeste,CE,FORTALEZA,Capital,Pública,Federal,Universidades,"  24,158 ","  2,582 "
555,Universidade de Fortaleza,Nordeste,CE,FORTALEZA,Capital,Privada,Com/Conf/Fil,Universidades,"  23,612 ","  3,140 "
580,Universidade Federal de Pernambuco,Nordeste,PE,RECIFE,Capital,Pública,Federal,Universidades,"  23,513 ","  2,898 "
10,Pontifícia Universidade Católica do Paraná,Sul,PR,CURITIBA,Capital,Privada,Com/Conf/Fil,Universidades,"  23,029 ","  3,570 "
472,Universidade do Grande Rio Professor José de Souza Herdy,Sudeste,RJ,DUQUE DE CAXIAS,Interior,Privada,Com/Conf/Fil,Universidades,"  22,883 ","  4,195 "
575,Universidade Federal de Minas Gerais,Sudeste,MG,BELO HORIZONTE,Capital,Pública,Federal,Universidades,"  22,640 ","  4,148 "
40,Universidade do Estado da Bahia,Nordeste,BA,SALVADOR,Capital,Pública,Estadual,Universidades,"  22,486 ","  2,084 "
277,Centro Universitário Augusto Motta,Sudeste,RJ,RIO DE JANEIRO,Capital,Privada,Com/Conf/Fil,Centros Universitários,"  22,417 ","  2,803 "
198,Centro Universitário da Cidade,Sudeste,RJ,RIO DE JANEIRO,Capital,Privada,Com/Conf/Fil,Centros Universitários,"  22,310 ","  4,265 "
83,Universidade do Vale do Itajaí,Sul,SC,ITAJAI,Interior,Privada,Com/Conf/Fil,Universidades,"  22,238 ","  3,908 "
