ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,SP,Estadual,2,2,354,4
FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,SP,Estadual,4,4,303,4
FACULDADE DE TECNOLOGIA DE AMERICANA,FATEC-AM,SP,Estadual,1,1,235,3
FACULDADE DE TECNOLOGIA DA BAIXADA SANTISTA,FATEC-BS,SP,Estadual,1,1,198,3
FACULDADE DE TECNOLOGIA DE JAHU,FATEC-JAHU,SP,Estadual,1,0,,
FACULDADE ESTADUAL DE EDUCAÇÃO FÍSICA DE JACAREZINHO,FAEFIJA,PR,Estadual,2,2,308,4
FACULDADE ESTADUAL DE DIREITO DO NORTE PIONEIRO,FUNDINOPI,PR,Estadual,1,1,355,4
FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA,FECEA,PR,Estadual,6,6,252,3
FACULDADE DE DIREITO DE FRANCA,FDF,SP,Municipal,1,1,315,4
ESCOLA DE ENGENHARIA DE PIRACICABA,EEP,SP,Municipal,7,5,216,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,FAFIPE,SP,Privada,9,4,181,2
FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,PE,Municipal,6,6,121,2
CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,PE,Municipal,5,5,104,2
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,SP,Municipal,9,4,184,2
FACULDADE ESTADUAL DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARANAVAÍ,FAFIPA,PR,Estadual,10,10,244,3
FACULDADE DA REGIÃO DOS LAGOS,FERLAGOS,RJ,Privada,5,5,200,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,ES,Municipal,9,6,174,2
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,FAFICA,SP,Municipal,14,7,197,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ,FAFIMA,RJ,Privada,2,2,156,2
FACULDADE DE FORMAÇÃO DE PROFESSORES DE PENEDO,FFPP,AL,Privada,3,1,101,2
FUNDAÇÃO FACULDADES LUIZ MENEGHEL,FFALM,PR,Estadual,5,5,270,3
FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,FDCL,MG,Municipal,1,1,224,3
FACULDADES INTEGRADAS RUI BARBOSA,FIRB,SP,Privada,6,4,217,3
INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,MG,Privada,2,2,231,3
FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA,FAEFI,SP,Privada,1,1,239,3
FACULDADE DE CIENCIAS ECONOMICAS DO TRIANGULO MINEIRO,FCETM,MG,Privada,3,2,191,2
FACULDADE DE DIREITO DE VARGINHA - FADIVA,FADIVA,MG,Privada,1,1,190,2
FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA,FACHO,PE,Privada,5,4,228,3
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS,FCHS,RJ,Privada,1,1,150,2
FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,SP,Estadual,2,1,461,5
ESCOLA DE ADMINISTRACAO DE EMPRESAS DE SAO PAULO,FGV-EAESP,SP,Privada,1,1,458,5
FACULDADE DE CIÊNCIAS CONTÁBEIS,FACIC,BA,Privada,1,1,291,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU,FAFICA,PE,Privada,9,7,238,3
FACULDADE FRASSINETTI DO RECIFE,FAFIRE,PE,Privada,6,6,215,3
FACULDADE DE ADMINISTRAÇÃO E INFORMÁTICA,FAI,MG,Privada,2,2,302,4
FACULDADES DA FUNDAÇÃO DE ENSINO DE MOCOCA,FaFEM,SP,Municipal,6,2,158,2
FACULDADE DE DIREITO DO SUL DE MINAS,FDSM,MG,Privada,1,1,281,3
FACULDADE DE DIREITO DE CARUARU,FADICA,PE,Privada,1,1,283,3
FACULDADE DE ODONTOLOGIA DE CARUARU,FOC,PE,Privada,1,1,185,2
ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,EMSM,RJ,Privada,1,1,255,3
FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS,FCCAE,RJ,Privada,2,2,200,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES,FFCLSM,RJ,Privada,5,5,180,2
FACULDADE DE ENGENHARIA SOUZA MARQUES,FESM,RJ,Privada,2,2,150,2
ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES,EEFTESM,RJ,Privada,1,1,168,2
FACULDADE MORAES JÚNIOR,FMJ - MACKENZIE RIO,RJ,Privada,4,4,191,2
INSTITUTO DE CIÊNCIAS SOCIAIS DO PARANÁ,ICSP,PR,Privada,4,3,221,3
FACULDADE SAO LUIS,FSL,SP,Privada,3,3,259,3
FACULDADE CASPER LIBERO,FCL,SP,Privada,5,5,279,3
FACULDADE BRASILEIRA DE CIÊNCIAS JURÍDICAS,FBCJ,RJ,Privada,1,1,145,2
FACULDADE DE ECONOMIA E FINANCAS DO RIO DE JANEIRO,FEFRJ,RJ,Privada,2,2,185,2
FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG,FEAMIG,MG,Privada,2,2,172,2
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE DUQUE DE CAXIAS",FFCLDC,RJ,Privada,6,6,159,2
FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL,FAECA DOM BOSCO,SP,Privada,7,5,211,3
FACULDADE SÃO JUDAS TADEU,FSJT,RJ,Privada,3,3,175,2
FACULDADE DE MEDICINA DO ABC,FMABC,SP,Privada,6,3,308,4
INSTITUTO DE ENSINO SUPERIOR SANTO ANDRÉ,IESA,SP,Privada,7,5,201,3
FACULDADE DE SÃO BERNARDO DO CAMPO - FASB,FASB I,SP,Privada,8,5,258,3
FACULDADES OSWALDO CRUZ,FOC,SP,Privada,12,12,200,3
FACULDADE DO CLUBE NÁUTICO MOGIANO,FCNM,SP,Privada,2,2,168,2
FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA - FEAP,FEAP,SP,Privada,1,1,234,3
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE PIRAJU",FAFIP,SP,Privada,2,2,207,3
FACULDADE DE ADMINISTRACAO E CIENCIAS CONTABEIS LUZWELL,LUZWELL,SP,Privada,2,2,146,2
FACULDADES INTEGRADAS CAMPOS SALLES,FICS,SP,Privada,6,5,219,3
FACULDADES INTEGRADAS DE OURINHOS,FIO,SP,Privada,15,7,178,2
FACULDADES INTEGRADAS ESPÍRITO SANTENSES,FAESA I,ES,Privada,9,9,244,3
FACULDADE DE DIREITO DA ALTA PAULISTA,FADAP,SP,Privada,1,1,214,3
FACULDADE FACCAT,FACCAT,SP,Privada,5,3,199,3
FACULDADES ESEFAP,,SP,Privada,2,2,127,2
FACULDADE DE DIREITO DE SOROCABA,FADI,SP,Privada,1,1,257,3
FACULDADES INTEGRADAS SIMONSEN,FIS,RJ,Privada,7,7,200,3
FACULDADES INTEGRADAS HELIO ALONSO,FACHA,RJ,Privada,5,5,213,3
FACULDADE DE MEDICINA DE ITAJUBÁ,FMIt,MG,Privada,2,2,192,2
FACULDADE DE DIREITO DO VALE DO RIO DOCE,FADIVALE,MG,Privada,1,1,221,3
FACULDADE DE CIÊNCIAS DA SAÚDE DE JOINVILLE,,SC,Privada,2,2,236,3
FACULDADE TRÊS DE MAIO,SETREM,RS,Privada,7,6,240,3
FACULDADE DE JANDAIA DO SUL,FAFIJAN,PR,Privada,6,6,193,2
"FACULDADE DE CIENCIAS ECONOMICAS, ADMINISTRATIVAS E CONTABEIS DE DIVINOPOLIS",FACED,MG,Privada,2,2,171,2
FACULDADE DE MEDICINA DE BARBACENA,FAME,MG,Privada,1,1,203,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE TATUÍ,,SP,Privada,2,0,,
FACULDADE DE DESENHO DE TATUI,FDT,SP,Privada,1,1,164,2
